Appliance Type,low_kwh,medium_kwh,high_kwh,overall_mean_kwh,low_hours,medium_hours,high_hours
Air Conditioning,2.502572786690434,3.492247428917121,4.496032400589101,3.4998569583788615,10.019124896547796,13.98131688558823,18.0
Computer,0.4930313165095774,1.0845271507016474,1.6929138288421675,1.0954977876106196,1.7608261303913475,3.873311252505883,6.046120817293454
Dishwasher,0.49746398559423766,1.100235049092532,1.6999029982363314,1.1033689945517584,0.27545071184620024,0.6092109906381683,0.9412530444276475
Fridge,0.16619900205459348,0.3005433775856746,0.43295890410958904,0.2982549592186084,0.1921931217746094,0.34754943924333576,0.500675228805538
Heater,2.486240578836298,3.470858006042296,4.481091123562371,3.486801756837692,2.875097518168601,4.013712640696498,5.181949839332028
Lights,0.4944107248084856,1.076801775147929,1.6850014590020426,1.0873561415547495,0.5717383345573699,1.2452174329551073,1.9485417276693178
Microwave,0.5012050739957716,1.1001405438435687,1.6922420457924472,1.100961093797125,0.2852618520180829,0.6261471507362373,0.9631428832057184
Oven,0.5013226392251816,1.0960323269289418,1.7023986889153755,1.1030797866988629,0.5797312971670212,1.2674557119733354,1.968659946707575
TV,0.4944400845155448,1.0950804953560371,1.6932718619869125,1.0972205956587584,5.256049971111251,11.641042031655173,18.0
Washing Machine,0.5001334546557477,1.0992197935640557,1.6932123735871505,1.1014116346830103,0.20575978661097685,0.4522297559917948,0.6966041032311372
